id	name	barcode	instr_id	instrument_name	state	created_by	created_at
851	11-10-04_M00146_0006_A-A04CE	A04CE	28979	m146	Completed	24	2011-11-03 10:55:44-04
856	111108_M00146_0013_AMS0001388-00300	AMS0001388	28979	m146	Completed	24	2011-11-16 15:37:42-05
857	111110_M00146_0014_AMS0001381-00300	AMS0001381	28979	m146	Completed	24	2011-11-16 15:38:38-05
854	solid010_2011_11_04_1_pcsi_0084_0085_PE	solid010_2011_11_04_1_pcsi_0084_0085_PE	25954	x010	Completed	31	2011-11-07 09:50:53-05
1087	08012012-2	08012012-2	29441	it1	Failed	24	2012-08-23 10:13:36-04
820	110915_SN802_0069_BC00E3ACXX	C00E3	18187	h802	Failed	24	2011-09-26 14:26:35-04
849	111028_SN393_0192_BC0AAKACXX	C0AAK	12299	h393	Completed	24	2011-11-01 13:58:05-04
850	111028_h803_0070_BC087YACXX	C087Y	18188	h803	Completed	24	2011-11-01 14:00:55-04
25	081125_i280_308MC_LT	308MC	2825	i280	Completed	9	2008-12-02 14:39:22-05
165	090624_i280_GAIIX_validation_run	090624_i280_GAIIX_validation_run	2825	i280	Completed	24	2009-06-25 16:57:33-04
176	090715_i280_30H76_LT	30H76	2825	i280	Completed	24	2009-07-15 17:48:35-04
662	110421_SN393_0122_A818PDABXX	818PDA	12299	h393	Completed	38	2011-04-25 11:39:00-04
48	090325_i580_30H7B_LT	30H7B	2827	i580	Completed	24	2009-03-28 14:50:42-04
167	090624_i580_GAIIX_validation_run	090624_i580_GAIIX_validation_run	2827	i580	Completed	24	2009-06-25 16:58:43-04
169	090702_i580_42H6E_LT	42H6E	2827	i580	Completed	24	2009-07-03 16:52:57-04
159	090610_i580_426P4_LT	426P4	2827	i580	Completed	24	2009-06-11 16:39:04-04
90	090428_i580_302N2_LT	302N2	2827	i580	Completed	24	2009-05-07 12:21:21-04
118	090527_I580_3054K_LT	3054K	2827	i580	Completed	24	2009-05-28 17:06:03-04
81	090406_I580_31220_LT	31220	2827	i580	Completed	24	2009-05-07 11:12:18-04
14	081031_i278_307W3_LT	307W3	2824	i278	Failed	9	2008-10-31 16:06:36-04
55	090327_i278_31039_LT	31039	2824	i278	Completed	24	2009-03-28 15:06:22-04
17	081104_i278_307UP_LT	307UP	2824	i278	Completed	9	2008-11-04 15:46:34-05
20	081114_i278_307UL_LT	307UL	2824	i278	Completed	9	2008-11-16 15:28:40-05
853	111103_h804_0070_AC087VACXX	C087V	18186	h804	Failed	24	2011-11-04 14:32:06-04
28	080512_i278_307UB_LT	307UB	2824	i278	Completed	9	2008-12-11 11:18:16-05
44	090318_i278_311WF_LT	311WF	2824	i278	Completed	24	2009-03-28 14:19:36-04
154	090607_i278_42846_LT	42846	2824	i278	Completed	24	2009-06-09 13:58:49-04
844	Solid234088008_2011_10_14_85R2_85P4_FC1	Solid234088008_2011_10_14_85R2_85P4_FC1	23739	x088	Completed	38	2011-10-20 09:50:47-04
164	090624_i278_GAIIX_validation_run	090624_i278_GAIIX_validation_run	2824	i278	Completed	24	2009-06-25 16:56:29-04
115	090520_i278_303WG_LT	303WG	2824	i278	Completed	24	2009-05-25 09:46:44-04
82	090408_i278_300TN_LT	300TN	2824	i278	Completed	24	2009-05-07 11:23:52-04
647	110316_I580_00038_612RG_LT	612RG	2827	i580	Completed	24	2011-03-22 12:45:11-04
645	110318_SN393_0118_B81CG6ABXX	81CG6	12299	h393	Completed	38	2011-03-21 14:05:29-04
792	110628_h239_0124_AC00V7ACXX	C00V7	8942	h239	Completed	38	2011-07-05 11:39:40-04
875	111216_h803_0073_BD0DPAACXX	D0DPA	18188	h803	Completed	24	2011-12-20 10:48:00-05
864	111124_h239_0134_BC06GFACXX	C06GF	8942	h239	Completed	24	2011-11-25 15:19:53-05
860	111110_h1080_0084_AC08UPACXX	C08UP	29089	h1080	Completed	24	2011-11-21 15:29:22-05
915	120203_h802_0077_AC0GGGACXX	C0GGG	18187	h802	Completed	24	2012-02-07 09:26:59-05
32	081216_I278_307NV_TD	307NV	2824	i278	Completed	9	2008-12-17 17:12:02-05
39	090302_I278_3120P_LT	3120P	2824	i278	Completed	24	2009-03-06 14:57:27-05
76	090119_I278_308MK_LT	308MK	2824	i278	Completed	24	2009-05-07 10:23:13-04
88	090420_I278_304UC_LT	304UC	2824	i278	Completed	24	2009-05-07 12:16:37-04
63	081228_I278_30TV7_LT	30TV7	2824	i278	Completed	24	2009-05-05 14:35:55-04
68	090109_I278_307WG_LT	307WG	2824	i278	Completed	24	2009-05-05 16:46:42-04
92	090430_I278_302N7_9	302N7	2824	i278	Completed	24	2009-05-07 12:28:56-04
73	090203_I278_30TWT_LT	30TWT	2824	i278	Completed	24	2009-05-07 09:49:09-04
30	081216_I095_30TW7_LT	30TW7	99	i095	Completed	9	2008-12-17 17:06:41-05
66	090108_I095_307T4_LT	307T4	99	i095	Completed	24	2009-05-05 16:34:42-04
61	081228_I095_30U3Y_LT	30U3Y	99	i095	Completed	24	2009-05-05 14:31:01-04
86	090415_I095_302WP_LT	302WP	99	i095	Completed	24	2009-05-07 11:36:37-04
78	090330_I095_300TH_LT	300TH	99	i095	Completed	24	2009-05-07 10:31:12-04
174	solid0151_20090706_AB_vs_Invitrogen_frag_lib	solid0151_20090706_AB_vs_Invitrogen_frag_lib	2833	a151	Completed	2	2009-07-14 19:01:29-04
130	SOLiD0151_20090202_1_MY3	SOLiD0151_20090202_1_MY3	2833	a151	Completed	13	2009-05-31 21:04:32-04
129	SOLiD0151_20090112_1_nimble_NC	SOLiD0151_20090112_1_nimble_NC	2833	a151	Completed	13	2009-05-31 20:55:53-04
131	SOLiD0151_20090211_1_Agilent	SOLiD0151_20090211_1_Agilent	2833	a151	Completed	13	2009-05-31 21:11:34-04
132	solid0151_20090417_frag_comparsion	solid0151_20090417_frag_comparsion	2833	a151	Completed	13	2009-05-31 21:33:43-04
100	SOLiD0151_20090112_2_nimble_C28	SOLiD0151_20090112_2_nimble_C28	2833	a151	Completed	13	2009-05-13 15:19:35-04
280	solid0037_20091223_4636WT_4060WT_AW	280	100	a037	Completed	31	2010-01-04 14:53:21-05
140	solid0037_20090316_3x35_R3	solid0037_20090316_3x35_R3	100	a037	Completed	13	2009-05-31 22:35:12-04
142	solid0037_20090402_3x35_R3minus_25bp	solid0037_20090402_3x35_R3minus_25bp	100	a037	Completed	13	2009-05-31 22:46:19-04
98	Solid0037_20090130_smRNA_run2_AC	Solid0037_20090130_smRNA_run2_AC	100	a037	Completed	13	2009-05-11 12:31:10-04
96	Solid0037_20080821_Capan2_LMP	Solid0037_20080821_Capan2_LMP	100	a037	Completed	13	2009-05-11 12:06:08-04
265	solid0035_4060sm_4535sm_hypoxia	265	2834	a035	Failed	31	2009-12-21 11:17:10-05
151	solid0035_20090605_4535X_1x50F	151	2834	a035	Completed	10	2009-06-05 18:21:44-04
150	Solid0035_20090605_4535X_1x50E	150	2834	a035	Completed	10	2009-06-05 18:19:56-04
144	solid0035_20090407_DH10B_2x50	solid0035_20090407_DH10B_2x50	2834	a035	Completed	13	2009-05-31 22:54:31-04
141	Solid0035_20090120_2_341P_2x35	Solid0035_20090120_2_341P_2x35	2834	a035	Completed	13	2009-05-31 22:40:56-04
158	solid0085_20090611_ICGC_4060X_WT	158	2831	a085	Completed	31	2009-06-11 16:24:39-04
156	solid0085_20090610_ICGC_4041X_WT	a_wong_4041	2831	a085	Completed	31	2009-06-10 16:39:08-04
147	Solid0085_20090605_4535X_1x50G	147	2831	a085	Completed	10	2009-06-05 18:12:57-04
103	Solid0085_20090515_619_2x50bp	103	2831	a085	Completed	10	2009-05-19 15:49:55-04
128	Solid0085_20080813_2_341_LMP	Solid0085_20080813_2_341_LMP	2831	a085	Completed	13	2009-05-31 20:52:09-04
127	Solid0085_20081008_2_AC	Solid0085_20081008_2_AC	2831	a085	Completed	13	2009-05-31 20:47:23-04
126	Solid0085_20080912_1_10kb	Solid0085_20080912_1_10kb	2831	a085	Completed	13	2009-05-31 20:37:10-04
149	solid0056_20090605_4535X_1x50D	149	2829	a056	Completed	10	2009-06-05 18:17:35-04
821	110916_SN803_0066_BC00EWACXX	C00EW	18188	h803	Completed	24	2011-09-26 14:35:08-04
